Name,AccountNumber,AccountSource,AnnualRevenue,Type,BillingState,Industry
Beck370 Inc,,Advertisement,1000000,Customer,,Finance
Dennis371 Inc,,Word of mouth,1000000,Customer,,Insurance
Abbott372 Inc,,Word of mouth,1000000,Partner,HI,Consulting
Duncan373 Inc,,Employee Referral,1000000,Partner,,Education
Fuller374 Inc,,Employee Referral,1000000,Customer,DE,Agriculture
Klein375 Inc,,Web,1000000,Customer,UT,Insurance
Dixon376 Inc,,Public Relations,1000000,Customer,NH,Biotechnology
Salazar257 Inc,,Partner,800000,Customer,,Manufacturing
Patrick258 Inc,,Trade Show,800000,Customer,MN,Biotechnology
Wells259 Inc,,Trade Show,800000,Customer,RI,Engineering
Dawson260 Inc,,Public Relations,800000,Customer,PA,Media
Holloway261 Inc,,Employee Referral,800000,Customer,,Apparel
Estrada262 Inc,,Partner,800000,Customer,AK,Insurance
Beck462 Inc,,Web,800000,Customer,WV,Biotechnology
Hill463 Inc,,Partner,800000,Customer,MI,Telecommunications
Maldonado464 Inc,,Partner,800000,Customer,HI,Technology
Figueroa465 Inc,,Employee Referral,800000,Customer,,Transportation
Porter466 Inc,,Employee Referral,800000,Partner,MT,Biotechnology
McDaniel467 Inc,,Advertisement,800000,Customer,,Biotechnology
Edwards468 Inc,,Advertisement,800000,Partner,KS,Biotechnology
Cobb469 Inc,,Partner,800000,Customer,MS,Transportation
Moore470 Inc,,Web,800000,Customer,,Electronics
Holloway471 Inc,,Public Relations,800000,Partner,,Biotechnology
Padilla472 Inc,,Word of mouth,800000,Customer,DE,Consulting
Cross473 Inc,,Seminar - Internal,800000,Customer,,Retail
Bridges474 Inc,,Public Relations,800000,Partner,,Technology
Chapman475 Inc,,Advertisement,800000,Partner,,Media
Hunt476 Inc,,Word of mouth,800000,Customer,ND,Finance
Stanley477 Inc,,Seminar - Internal,800000,Partner,,Engineering
Schmidt478 Inc,,Employee Referral,800000,Customer,,Technology
Bowman479 Inc,,Employee Referral,1500000,Customer,,Manufacturing
Moss480 Inc,,Advertisement,1500000,Partner,NC,Engineering
Myers320 Inc,,Employee Referral,500000,Partner,,Agriculture
Tate321 Inc,,Partner,500000,Customer,,Apparel
Fowler322 Inc,,Public Relations,500000,Partner,ND,Apparel
Marsh323 Inc,,Word of mouth,500000,Customer,CT,Media
Cortez324 Inc,,Web,500000,Partner,,Utilities
Dennis325 Inc,,Trade Show,500000,Partner,NH,Engineering
Haynes326 Inc,,Advertisement,500000,Customer,TN,Media
Ellis327 Inc,,Trade Show,500000,Customer,,Banking
Black328 Inc,,Public Relations,500000,Partner,,Retail
Gill329 Inc,,Web,500000,Partner,MD,Insurance
Hale330 Inc,,Advertisement,500000,Partner,NY,Insurance
Hill331 Inc,,Employee Referral,500000,Customer,IN,Apparel
Hicks332 Inc,,Partner,500000,Customer,,Energy
Rowe333 Inc,,Public Relations,500000,Customer,SD,Communications
Pittman334 Inc,,Trade Show,500000,Customer,NH,Finance
Adams335 Inc,,Employee Referral,500000,Customer,,Electronics
Atkins336 Inc,,Advertisement,500000,Customer,,Finance
Mitchell534 Inc,,Employee Referral,500000,Customer,,Education
Duncan535 Inc,,Employee Referral,500000,Partner,NM,Finance
Crawford536 Inc,,Partner,500000,Customer,VA,Energy
Morton537 Inc,,Employee Referral,500000,Customer,LA,Transportation
Conner538 Inc,,Word of mouth,500000,Partner,,Retail
Tran539 Inc,,Web,500000,Customer,CT,Finance
Davis540 Inc,,Web,500000,Customer,CT,Consulting
Morris541 Inc,,Employee Referral,500000,Partner,RI,Technology
Rivera377 Inc,,Employee Referral,1000000,Partner,,Energy
Armstrong378 Inc,,Trade Show,1000000,Customer,NE,Insurance
Banks379 Inc,,Employee Referral,1000000,Partner,,Apparel
Nash380 Inc,,Advertisement,1000000,Customer,,Banking
Webb381 Inc,,Advertisement,1000000,Customer,,Apparel
Robinson382 Inc,,Employee Referral,1000000,Partner,,Agriculture
Houston383 Inc,,Trade Show,1000000,Customer,CT,Electronics
Rios384 Inc,,Web,1000000,Partner,,Insurance
Rivera385 Inc,,Advertisement,1000000,Customer,,Apparel
Arnold386 Inc,,Word of mouth,1000000,Customer,RI,Retail
Banks163 Inc,,Partner,1000000,Customer,TX,Technology
King177 Inc,,Web,1000000,Customer,TX,Telecommunications
Morrison178 Inc,,Partner,1000000,Customer,,Apparel
Perez179 Inc,,Partner,1000000,Customer,,Engineering
Quinn180 Inc,,Advertisement,1000000,Customer,KS,Media
Martinez181 Inc,,Partner,1000000,Customer,ME,Biotechnology
Allen182 Inc,,Trade Show,1000000,Customer,,Apparel
Williamson183 Inc,,Advertisement,1000000,Partner,NM,Apparel
Crawford184 Inc,,Partner,1000000,Customer,OK,Education
Klein185 Inc,,Employee Referral,1000000,Customer,,Banking
Reed186 Inc,,Web,1000000,Customer,,Retail
Duncan187 Inc,,Word of mouth,1000000,Partner,,Energy
Christensen164 Inc,,Web,1000000,Customer,,Electronics
Webb165 Inc,,Employee Referral,1000000,Customer,NE,Apparel
Allen481 Inc,,Word of mouth,1500000,Customer,IA,Technology
Guzman482 Inc,,Trade Show,1500000,Partner,NV,Finance
Long647 Inc,,Web,1500000,Customer,,Healthcare
Soto648 Inc,,Web,1500000,Customer,WI,Agriculture
Martinez649 Inc,,Advertisement,1500000,Partner,,Apparel
Cummings650 Inc,,Web,1500000,Customer,,Energy
Hines651 Inc,,Partner,1500000,Customer,,Technology
Colon652 Inc,,Web,1500000,Customer,NH,Banking
Warren653 Inc,,Advertisement,1500000,Partner,,Retail
Fleming654 Inc,,Employee Referral,1500000,Partner,AZ,Insurance
Dixon655 Inc,,Trade Show,1500000,Customer,,Insurance
Russell656 Inc,,Web,1500000,Customer,,Agriculture
Benson657 Inc,,Trade Show,1500000,Customer,LA,Communications
McDonald658 Inc,,Advertisement,1500000,Customer,,Agriculture
Long659 Inc,,Employee Referral,1500000,Partner,WA,Apparel
Hicks660 Inc,,Trade Show,1500000,Customer,FL,Electronics
Bass661 Inc,,Trade Show,1500000,Partner,IA,Agriculture
Nichols662 Inc,,Employee Referral,1500000,Partner,,Manufacturing
Simmons663 Inc,,Word of mouth,1500000,Partner,,Energy
Palmer664 Inc,,Partner,1500000,Customer,,Retail
Woods665 Inc,,Word of mouth,1500000,Partner,,Manufacturing
Higgins666 Inc,,Employee Referral,1500000,Customer,,Media
Newman667 Inc,,Employee Referral,1500000,Customer,,Apparel
Rogers668 Inc,,Word of mouth,1500000,Partner,,Finance
Moore669 Inc,,Advertisement,1500000,Customer,,Insurance
McKinney542 Inc,,Employee Referral,500000,Customer,,Education
Barnett543 Inc,,Employee Referral,500000,Partner,,Consulting
Potter544 Inc,,Employee Referral,500000,Partner,WY,Retail
Freeman545 Inc,,Trade Show,500000,Partner,,Healthcare
Caldwell546 Inc,,Employee Referral,500000,Partner,,Apparel
Bowen547 Inc,,Word of mouth,500000,Customer,,Healthcare
Torres548 Inc,,Public Relations,500000,Customer,,Biotechnology
Phelps549 Inc,,Employee Referral,500000,Customer,TN,Finance
Garza550 Inc,,Public Relations,500000,Customer,DC,Insurance
Owens551 Inc,,Web,500000,Partner,,Consulting
Phillips552 Inc,,Web,500000,Customer,MI,Insurance
Long553 Inc,,Public Relations,500000,Customer,OK,Engineering
Gibbs554 Inc,,Word of mouth,500000,Partner,,Media
Stone555 Inc,,Word of mouth,500000,Customer,,Electronics
Pittman556 Inc,,Partner,700000,Customer,ID,Consulting
Clayton557 Inc,,Word of mouth,700000,Partner,,Apparel
Smith558 Inc,,Seminar - Internal,700000,Partner,SD,Electronics
Williamson719 Inc,,Seminar - Internal,700000,Partner,,Technology
Munoz720 Inc,,Word of mouth,700000,Customer,IL,Engineering
Robertson721 Inc,,Web,700000,Customer,NY,Education
Phillips722 Inc,,Partner,700000,Partner,SC,Manufacturing
Wade723 Inc,,Trade Show,700000,Customer,IL,Banking
Munoz724 Inc,,Employee Referral,700000,Customer,,Agriculture
Jones725 Inc,,Employee Referral,700000,Customer,IL,Finance
Figueroa166 Inc,,Partner,1000000,Customer,,Utilities
Stone167 Inc,,Word of mouth,1000000,Partner,CO,Energy
Newman168 Inc,,Employee Referral,1000000,Partner,,Apparel
Baker169 Inc,,Employee Referral,1000000,Customer,,Consulting
Coleman170 Inc,,Partner,1000000,Customer,,Banking
Olson171 Inc,,Word of mouth,1000000,Customer,,Transportation
Carter172 Inc,,Trade Show,1000000,Partner,,Utilities
Greer173 Inc,,Advertisement,1000000,Customer,MN,Transportation
Jordan174 Inc,,Word of mouth,1000000,Customer,,Healthcare
Wise175 Inc,,Seminar - Internal,1000000,Partner,SC,Insurance
Carpenter176 Inc,,Public Relations,1000000,Partner,,Energy
Flores188 Inc,,Employee Referral,1000000,Customer,VA,Retail
Hoffman387 Inc,,Partner,1000000,Partner,WV,Transportation
Ross388 Inc,,Web,1000000,Customer,IA,Education
Fleming389 Inc,,Word of mouth,1000000,Customer,,Manufacturing
Gardner390 Inc,,Web,1000000,Customer,,Energy
Stephens391 Inc,,Trade Show,1000000,Customer,MI,Insurance
Pratt392 Inc,,Employee Referral,1000000,Partner,,Retail
Wilson393 Inc,,Advertisement,1000000,Customer,,Education
Robinson394 Inc,,Word of mouth,1000000,Customer,,Education
Rivera395 Inc,,Seminar - Internal,2000000,Customer,ND,Engineering
Cook396 Inc,,Advertisement,2000000,Partner,,Finance
Warren397 Inc,,Employee Referral,2000000,Customer,SC,Education
Brewer398 Inc,,Word of mouth,2000000,Customer,DC,Media
Maxwell670 Inc,,Word of mouth,1500000,Customer,OR,Media
Cooper671 Inc,,Web,1500000,Customer,NM,Communications
Green672 Inc,,Word of mouth,1500000,Partner,,Biotechnology
Fleming816 Inc,,Partner,1500000,Customer,,Insurance
Colon817 Inc,,Trade Show,1500000,Customer,NH,Media
King818 Inc,,Employee Referral,1500000,Customer,,Telecommunications
Larson819 Inc,,Employee Referral,1500000,Partner,,Consulting
Green820 Inc,,Employee Referral,1500000,Partner,,Apparel
Strickland821 Inc,,Trade Show,1500000,Customer,OK,Media
Flowers822 Inc,,Trade Show,1500000,Partner,KS,Energy
Flores823 Inc,,Public Relations,1500000,Customer,,Education
Richardson824 Inc,,Web,1500000,Partner,,Media
Shelton825 Inc,,Seminar - Internal,1500000,Customer,,Banking
Romero826 Inc,,Web,1500000,Customer,,Manufacturing
Fuller827 Inc,,Word of mouth,1500000,Customer,UT,Apparel
Hart828 Inc,,Partner,1500000,Customer,,Electronics
Nelson829 Inc,,Web,1500000,Customer,,Media
Rios830 Inc,,Employee Referral,1500000,Customer,NJ,Apparel
Greer831 Inc,,Advertisement,1500000,Customer,,Finance
Floyd832 Inc,,Employee Referral,1500000,Customer,,Banking
Porter833 Inc,,Advertisement,1500000,Customer,,Education
Lane834 Inc,,Trade Show,1500000,Customer,NE,Transportation
Ford835 Inc,,Word of mouth,1500000,Partner,,Insurance
Marsh836 Inc,,Advertisement,1500000,Customer,CT,Insurance
Day837 Inc,,Seminar - Internal,1500000,Customer,,Energy
Cole726 Inc,,Advertisement,700000,Customer,,Consulting
Wallace727 Inc,,Employee Referral,700000,Customer,,Transportation
Ellis728 Inc,,Trade Show,700000,Customer,,Utilities
Jensen729 Inc,,Advertisement,700000,Partner,KY,Consulting
Joseph730 Inc,,Trade Show,700000,Customer,ME,Energy
Cortez731 Inc,,Seminar - Internal,700000,Customer,,Banking
McGuire732 Inc,,Word of mouth,700000,Customer,,Consulting
Fleming733 Inc,,Trade Show,700000,Partner,,Agriculture
Hopkins734 Inc,,Trade Show,700000,Customer,,Engineering
Jordan735 Inc,,Word of mouth,700000,Customer,,Manufacturing
Schneider736 Inc,,Word of mouth,700000,Customer,,Engineering
Sanchez737 Inc,,Seminar - Internal,700000,Customer,,Engineering
Ferguson738 Inc,,Employee Referral,700000,Partner,,Technology
Hopkins739 Inc,,Employee Referral,700000,Customer,KY,Education
Berry740 Inc,,Web,700000,Customer,,Biotechnology
Grant741 Inc,,Employee Referral,700000,Customer,,Energy
Grant742 Inc,,Advertisement,700000,Customer,,Utilities
Mitchell743 Inc,,Advertisement,700000,Customer,LA,Energy
Carlson744 Inc,,Employee Referral,700000,Partner,DE,Banking
Rogers895 Inc,,Employee Referral,700000,Partner,WA,Biotechnology
Maxwell896 Inc,,Word of mouth,700000,Customer,NM,Banking
Santos897 Inc,,Seminar - Internal,700000,Partner,WY,Energy
James898 Inc,,Word of mouth,700000,Customer,OH,Manufacturing
Lindsey899 Inc,,Web,700000,Partner,NV,Technology
Luna900 Inc,,Trade Show,700000,Customer,NH,Energy
Pittman399 Inc,,Employee Referral,2000000,Customer,ME,Manufacturing
Owens400 Inc,,Advertisement,2000000,Customer,IA,Telecommunications
Tucker401 Inc,,Employee Referral,2000000,Customer,,Communications
Briggs402 Inc,,Seminar - Internal,2000000,Customer,,Finance
Scott403 Inc,,Web,2000000,Partner,CT,Agriculture
Watson404 Inc,,Web,2000000,Customer,,Agriculture
Henry405 Inc,,Advertisement,2000000,Customer,,Energy
Gordon406 Inc,,Advertisement,2000000,Customer,,Engineering
Oliver407 Inc,,Word of mouth,2000000,Customer,,Utilities
Myers408 Inc,,Employee Referral,2000000,Partner,MO,Technology
Gonzales409 Inc,,Web,2000000,Customer,,Engineering
Myers581 Inc,,Employee Referral,2000000,Customer,FL,Consulting
Flores582 Inc,,Partner,2000000,Partner,CA,Technology
Schultz583 Inc,,Word of mouth,2000000,Partner,,Apparel
Guerrero584 Inc,,Employee Referral,2000000,Customer,,Banking
Gill585 Inc,,Web,2000000,Customer,,Finance
McCoy586 Inc,,Employee Referral,2000000,Customer,IN,Technology
Griffin587 Inc,,Word of mouth,2000000,Customer,,Communications
Owens588 Inc,,Web,2000000,Customer,,Transportation
Jackson589 Inc,,Trade Show,2000000,Customer,,Consulting
Perez590 Inc,,Trade Show,2000000,Customer,MA,Retail
Klein591 Inc,,Employee Referral,2000000,Customer,,Biotechnology
Stone592 Inc,,Word of mouth,2000000,Customer,,Banking
Yates593 Inc,,Advertisement,2000000,Customer,,Engineering
Benson594 Inc,,Partner,2000000,Customer,DE,Energy
Cobb838 Inc,,Word of mouth,1500000,Customer,CO,Electronics
Ramos839 Inc,,Web,1500000,Customer,VT,Engineering
Christensen840 Inc,,Word of mouth,1500000,Customer,,Technology
Schneider841 Inc,,Word of mouth,1500000,Customer,,Electronics
Holland842 Inc,,Seminar - Internal,1500000,Customer,MI,Engineering
Grant962 Inc,,Employee Referral,1500000,Customer,,Transportation
Boone963 Inc,,Web,1500000,Customer,,Insurance
Pena964 Inc,,Employee Referral,1500000,Customer,FL,Electronics
Conner965 Inc,,Public Relations,1500000,Customer,,Insurance
Barnett966 Inc,,Employee Referral,1500000,Customer,,Electronics
May967 Inc,,Partner,1500000,Customer,,Manufacturing
Gross968 Inc,,Web,1500000,Customer,DE,Agriculture
Rivera969 Inc,,Partner,1500000,Customer,NC,Manufacturing
Nash970 Inc,,Word of mouth,1500000,Customer,,Engineering
Kim971 Inc,,Partner,1500000,Customer,CA,Transportation
Wagner972 Inc,,Web,1500000,Customer,,Media
Owens973 Inc,,Word of mouth,1500000,Customer,,Energy
Cummings974 Inc,,Seminar - Internal,1500000,Customer,,Agriculture
Myers975 Inc,,Trade Show,1500000,Customer,,Transportation
Obrien976 Inc,,Word of mouth,1500000,Customer,MN,Healthcare
Marshall977 Inc,,Seminar - Internal,1500000,Customer,,Insurance
Mack978 Inc,,Partner,1500000,Customer,NV,Engineering
Roberts979 Inc,,Trade Show,1500000,Partner,GA,Banking
Parsons980 Inc,,Word of mouth,1500000,Customer,DE,Insurance
Flowers981 Inc,,Word of mouth,1500000,Customer,VA,Telecommunications
Holt901 Inc,,Word of mouth,700000,Customer,,Technology
Dean902 Inc,,Public Relations,700000,Customer,,Education
Elliott903 Inc,,Partner,700000,Customer,,Media
Mann904 Inc,,Trade Show,700000,Customer,MA,Transportation
Park905 Inc,,Trade Show,700000,Customer,,Technology
Bennett906 Inc,,Seminar - Internal,700000,Partner,,Technology
Adkins907 Inc,,Trade Show,700000,Customer,HI,Transportation
Sharp908 Inc,,Web,700000,Customer,HI,Banking
Carson909 Inc,,Trade Show,700000,Customer,PA,Technology
Davis910 Inc,,Seminar - Internal,700000,Customer,MA,Communications
Ferguson911 Inc,,Word of mouth,700000,Customer,,Technology
Robinson912 Inc,,Web,700000,Customer,KY,Biotechnology
Richards913 Inc,,Word of mouth,700000,Customer,NH,Electronics
Ingram914 Inc,,Word of mouth,700000,Customer,,Media
Dixon915 Inc,,Trade Show,700000,Customer,,Biotechnology
Mullins916 Inc,,Employee Referral,700000,Partner,,Engineering
Malone917 Inc,,Employee Referral,700000,Partner,ME,Agriculture
Walters918 Inc,,Employee Referral,700000,Partner,,Consulting
Love919 Inc,,Trade Show,700000,Customer,,Apparel
Griffin920 Inc,,Partner,700000,Customer,AK,Biotechnology
Cunningham337 Inc,,Partner,700000,Customer,,Retail
Byrd338 Inc,,Public Relations,700000,Customer,,Engineering
Poole339 Inc,,Employee Referral,700000,Customer,,Technology
Massey340 Inc,,Word of mouth,700000,Customer,,Manufacturing
Garza341 Inc,,Trade Show,700000,Customer,,Media
Mendez595 Inc,,Public Relations,2000000,Partner,NM,Banking
Chambers596 Inc,,Trade Show,2000000,Partner,,Biotechnology
Bishop597 Inc,,Advertisement,2000000,Customer,,Agriculture
Black598 Inc,,Partner,2000000,Partner,,Manufacturing
Joseph599 Inc,,Seminar - Internal,2000000,Customer,IL,Energy
Hopkins600 Inc,,Advertisement,2000000,Partner,,Telecommunications
Rios771 Inc,,Partner,2000000,Partner,,Engineering
Rice189 Inc,,Employee Referral,2000000,Customer,,Transportation
Diaz190 Inc,,Trade Show,2000000,Customer,,Finance
Houston191 Inc,,Partner,2000000,Customer,CA,Energy
Lee192 Inc,,Seminar - Internal,2000000,Customer,,Engineering
Curtis193 Inc,,Employee Referral,2000000,Customer,HI,Retail
Jensen194 Inc,,Word of mouth,2000000,Customer,,Communications
Harris195 Inc,,Employee Referral,2000000,Partner,,Transportation
Vasquez196 Inc,,Employee Referral,2000000,Customer,,Utilities
Webster197 Inc,,Employee Referral,2000000,Customer,,Communications
Perkins198 Inc,,Partner,2000000,Customer,,Transportation
Montgomery199 Inc,,Public Relations,2000000,Customer,,Transportation
Stokes200 Inc,,Seminar - Internal,2000000,Partner,,Insurance
Austin201 Inc,,Word of mouth,2000000,Customer,,Technology
Reeves202 Inc,,Partner,2000000,Customer,,Apparel
Simmons203 Inc,,Advertisement,2000000,Customer,NC,Healthcare
Howell204 Inc,,Trade Show,2000000,Customer,OK,Technology
Mack982 Inc,,Seminar - Internal,1500000,Customer,,Banking
Hawkins983 Inc,,Public Relations,700000000,Customer,VA,Retail
McGuire984 Inc,,Word of mouth,700000000,Customer,SD,Utilities
Jimenez985 Inc,,Web,700000000,Customer,,Engineering
Cooper986 Inc,,Partner,700000000,Partner,CO,Engineering
Summers987 Inc,,Public Relations,700000000,Customer,,Transportation
Gibbs52 Inc,,Seminar - Internal,700000000,Customer,OK,Media
Brown53 Inc,,Employee Referral,700000000,Partner,,Technology
Walsh54 Inc,,Public Relations,700000000,Customer,,Telecommunications
Leonard55 Inc,,Employee Referral,700000000,Customer,,Transportation
Martin56 Inc,,Partner,700000000,Partner,NM,Telecommunications
Manning57 Inc,,Web,700000000,Customer,ID,Engineering
Daniel58 Inc,,Partner,700000000,Customer,,Manufacturing
Doyle59 Inc,,Word of mouth,700000000,Customer,,Biotechnology
Stokes60 Inc,,Employee Referral,700000000,Customer,,Technology
Hines61 Inc,,Advertisement,700000000,Customer,,Manufacturing
Gibson62 Inc,,Partner,700000000,Customer,,Healthcare
Rhodes63 Inc,,Advertisement,700000000,Partner,,Insurance
Lopez64 Inc,,Employee Referral,700000000,Customer,NE,Consulting
Reed65 Inc,,Web,700000000,Customer,,Electronics
Wells66 Inc,,Employee Referral,700000000,Customer,,Apparel
Carpenter67 Inc,,Public Relations,700000000,Customer,SC,Manufacturing
Figueroa68 Inc,,Web,700000000,Customer,,Engineering
Sharp69 Inc,,Word of mouth,700000000,Customer,MO,Electronics
Harper70 Inc,,Partner,700000000,Partner,,Education
Simpson342 Inc,,Public Relations,700000,Customer,HI,Media
Shaw343 Inc,,Employee Referral,700000,Customer,NY,Insurance
Clayton344 Inc,,Web,700000,Customer,CA,Manufacturing
Armstrong345 Inc,,Employee Referral,700000,Customer,,Technology
Benson346 Inc,,Employee Referral,700000,Customer,,Technology
